depends org.apache.hadoop.hdfs.server.namenode.NameNode org.apache.hadoop.hdfs.DistributedFileSystem
depends org.apache.hadoop.hdfs.DistributedFileSystem org.apache.hadoop.hdfs.server.namenode.NameNode
depends org.apache.hadoop.hdfs.server.namenode.NameNode org.apache.hadoop.hdfs.server.balancer.Balancer
depends org.apache.hadoop.hdfs.server.balancer.Balancer org.apache.hadoop.hdfs.server.namenode.NameNode
depends org.apache.hadoop.hdfs.server.namenode.NameNode org.apache.hadoop.hdfs.server.datanode.DataNode
depends org.apache.hadoop.hdfs.server.datanode.DataNode org.apache.hadoop.hdfs.server.namenode.NameNode
depends org.apache.hadoop.hdfs.server.namenode.NameNode org.apache.hadoop.hdfs.server.datanode.DataStorage
depends org.apache.hadoop.hdfs.server.datanode.DataStorage org.apache.hadoop.hdfs.server.namenode.NameNode
depends org.apache.hadoop.hdfs.server.namenode.NameNode org.apache.hadoop.hdfs.server.namenode.ListPathsServlet
depends org.apache.hadoop.hdfs.server.namenode.ListPathsServlet org.apache.hadoop.hdfs.server.namenode.NameNode
depends org.apache.hadoop.hdfs.server.namenode.NameNode org.apache.hadoop.hdfs.protocol.FSConstants
depends org.apache.hadoop.hdfs.protocol.FSConstants org.apache.hadoop.hdfs.server.namenode.NameNode
depends org.apache.hadoop.hdfs.server.namenode.NameNode org.apache.hadoop.hdfs.protocol.ClientProtocol
depends org.apache.hadoop.hdfs.protocol.ClientProtocol org.apache.hadoop.hdfs.server.namenode.NameNode
depends org.apache.hadoop.hdfs.server.namenode.NameNode org.apache.hadoop.hdfs.server.namenode.FSImage
depends org.apache.hadoop.hdfs.server.namenode.FSImage org.apache.hadoop.hdfs.server.namenode.NameNode
depends org.apache.hadoop.hdfs.server.namenode.NameNode org.apache.hadoop.hdfs.server.namenode.FSEditLog
depends org.apache.hadoop.hdfs.server.namenode.FSEditLog org.apache.hadoop.hdfs.server.namenode.NameNode
depends org.apache.hadoop.hdfs.server.namenode.NameNode org.apache.hadoop.hdfs.server.namenode.SecondaryNameNode
depends org.apache.hadoop.hdfs.server.namenode.SecondaryNameNode org.apache.hadoop.hdfs.server.namenode.NameNode
depends org.apache.hadoop.hdfs.server.namenode.NameNode org.apache.hadoop.hdfs.server.common.Storage
depends org.apache.hadoop.hdfs.server.common.Storage org.apache.hadoop.hdfs.server.namenode.NameNode
depends org.apache.hadoop.hdfs.server.namenode.NameNode org.apache.hadoop.hdfs.server.namenode.metrics.NameNodeStatistics
depends org.apache.hadoop.hdfs.server.namenode.metrics.NameNodeStatistics org.apache.hadoop.hdfs.server.namenode.NameNode
depends org.apache.hadoop.hdfs.server.namenode.NameNode org.apache.hadoop.hdfs.tools.DFSAdmin
depends org.apache.hadoop.hdfs.tools.DFSAdmin org.apache.hadoop.hdfs.server.namenode.NameNode
depends org.apache.hadoop.hdfs.server.namenode.NamenodeFsck org.apache.hadoop.hdfs.server.namenode.FSDirectory
depends org.apache.hadoop.hdfs.server.namenode.FSDirectory org.apache.hadoop.hdfs.server.namenode.NamenodeFsck
depends org.apache.hadoop.fs.FilterFileSystem org.apache.hadoop.mapred.JobClient
depends org.apache.hadoop.mapred.JobClient org.apache.hadoop.fs.FilterFileSystem
depends org.apache.hadoop.fs.FilterFileSystem org.apache.hadoop.mapred.InputFormat
depends org.apache.hadoop.mapred.InputFormat org.apache.hadoop.fs.FilterFileSystem
depends org.apache.hadoop.fs.FilterFileSystem org.apache.hadoop.mapred.FileInputFormat
depends org.apache.hadoop.mapred.FileInputFormat org.apache.hadoop.fs.FilterFileSystem
depends org.apache.hadoop.fs.FilterFileSystem org.apache.hadoop.fs.FileSystem
depends org.apache.hadoop.fs.FileSystem org.apache.hadoop.fs.FilterFileSystem
depends org.apache.hadoop.fs.FilterFileSystem org.apache.hadoop.fs.ftp.FTPFileSystem
depends org.apache.hadoop.fs.ftp.FTPFileSystem org.apache.hadoop.fs.FilterFileSystem
